There were varying degrees of Romanization throughout Roman Dacia.	達契亞行省各處都有不同程度的羅馬化。
As Donatello's Marzocco for the papal apartment in Santa Maria Novella conveyed Florence's ambivalence towards Martin V (as both a source of prestige by visiting, and a potential adversary of the Republic), the lions supporting the bier contextualize the tomb monument's support for John XXIII's claim to the papacy by cementing it as a Florentine claim.	由於對聖塔瑪莉亞諾維拉的教皇公寓而言，多那太羅的紋章獅子傳達出佛羅倫斯對瑪爾定五世的矛盾心態 (因為兩者都是派駐的聲望來源，也是共和國的潛在敵手)，支撐棺架的獅子透過鞏固佛羅倫斯主張的方式，將紀念墓支持若望二十三世教皇地位的主張化為情境。
Yet, any iconographical interpretation of the lions must be taken with a grain of salt as lions are symbolically promiscuous, and are also seen as supports on earlier tombs, such as that of Lapo de' Bardi (d. 1342) in the Bargello.	但是，任何對獅子的圖像誌解譯都不得盡信，因為獅子有雜交的象徵，也在早期的墳墓中被視為支撐物，例如巴傑羅美術館中拉波·德·巴爾迪 (1342 年逝世) 的墳墓。
The bier and the pall spread over it are tilted towards the viewer with the lion supporting the head standing 2-centimetre (1 in) shorter, increasing the visibility of the effigy, especially the head.	棺架和攤開在其上的墓布向觀賞者的方向傾斜，且支撐頭部的獅子高度短了 2 公分 (1 英吋)，使得雕像更為顯眼，尤其是頭部。
The gilded-bronze, life-size effigy itself makes no attempt to argue for Cossa's papal status, dressing Cossa clearly in the costume of a cardinal; the bedding it rests on is of un-gilt bronze.	本身是擬金青銅且真人大小的雕像明確地穿上樞機主教的服裝，顯然主張著科薩的教皇地位；它所長眠的床墊是以非擬金青銅製成。
The opening in the 16th century of the sarcophagus confirmed that Cossa's actual burial clothes matched the effigy.	16 世紀時，石棺的開啟確認了科薩實際的壽衣與雕像相符。
There was no precedent for a three-dimensional gilded-bronze effigy on an Italian tomb monument; there was, however, a 6-foot (1.83 m) gilt bronze statue on the balcony of the Palazzo della Briada in Bologna commissioned by Pope Boniface VIII.	義大利紀念墓上先前未出現過立體的鍍銅雕像；不過，有一個由教宗波尼法爵八世委託在波隆那的比亞達宮露臺製作的 6 英呎 (1.83 公尺) 鍍金銅製雕像。
Chief Wiggum pulls Troy McClure over for dangerous driving.	維古姆警官以危險駕駛為由請特洛伊·麥克盧爾停靠到路邊。
Not wishing to be required to wear his glasses while driving, Troy goes to the DMV to get his license changed to remove the requirement.	因為不希望開車時必須戴著眼鏡，特洛伊前往監理所更換駕照以刪除此要求。
He offers to take DMV employee Selma Bouvier to dinner if she lets him pass the eye test, to which she agrees.	他提議，如果監理所員工塞爾瑪·布維爾讓他通過視力檢測，就請她吃晚餐，而她同意了。
After dinner, photographers notice Troy leaving with Selma and the story hits the news.	晚餐後，攝影師們注意到特洛伊與塞爾瑪一起離開，而該報導也躍上新聞版面。
The next day, Troy's agent, MacArthur Parker, calls and says that he can get work again if he continues seeing Selma.	隔天，特洛伊的經紀人麥克阿瑟·帕克來電表示，如果他繼續和塞爾瑪見面，就可以再次獲得工作。
Troy continues to date her and his career begins to recover.	特洛伊繼續和她約會，他的事業也開始恢復原狀。
On his agent's advice, Troy asks Selma to marry him; she agrees.	在經紀人的建議下，特洛伊向塞爾瑪求婚；她同意了。
The night before the wedding, a drunk Troy tells Homer the reason for his marriage: he doesn't really love Selma, and he just plans to use her as a sham wife to help further his career.	婚禮的前一晚，喝醉酒的特洛伊對荷馬訴說他結婚的原因：他並非真的愛塞爾瑪，他只是打算利用她虛假的妻子身分讓事業更上一層樓。
Although Homer fails to act, Marge and Patty try to explain it to Selma, who accuses them of just being envious.	雖然荷馬並未採取行動，不過美枝和帕蒂試著向塞爾瑪解釋，而塞爾瑪指責她們只是嫉妒。
She confronts Troy, who shamelessly admits that their marriage is a sham but explains she has everything she could want and will be "the envy of every other sham wife in town".	她向特洛伊對質，他厚著臉皮承認他們的婚姻是個幌子，但是解釋說，她什麼都能夠如願以償，而且將成為「鎮上所有其他虛假妻子忌妒的對象」。
Selma has doubts, but accepts the situation because she fears being alone.	塞爾瑪有所懷疑，但是因為害怕獨處而接受了這個情況。
Parker thinks he can get Troy the part of McBain's sidekick in McBain IV: Fatal Discharge, but concludes he will have a better chance if he has a family.	帕克認為他可以讓特洛伊在《麥克貝恩 4：致命排放》中擔任麥克貝恩的搭檔，但是斷定如果他成家會更有機會。
Troy and Selma try to conceive a child, but neither feels comfortable with their situation, and Selma finally leaves after deciding that bringing a child into a loveless family is wrong.	特洛伊和塞爾瑪試著懷孕，但是兩者都對所處的情況感到不自在，而塞爾瑪在決定讓孩子進到沒有愛的家是錯誤的之後，最後還是離開了。
During the first half of the end credits, news confirmed that Troy turns down the role of McBain's sidekick to direct and star in his own film, The Contrabulous Fabtraption of Professor Horatio Hufnagel.	在片尾字幕的前半段，有新聞確認了特洛伊拒絕麥克貝恩搭檔的角色，在自己的電影《何瑞修·赫夫納格教授的超棒發明》中自導自演。
Show runners Bill Oakley and Josh Weinstein were fans of actor Phil Hartman, who had been a recurring guest star since the second season.	節目統籌比爾·奧克利和喬許·威恩斯坦是演員菲爾·哈特曼的粉絲；菲爾·哈特曼曾在第二季之後固定客串。
They decided to produce an episode entirely about his character Troy McClure to give Hartman as much to do as possible.	他們決定製作一段完全圍繞在其角色特洛伊·麥克盧爾的影集，讓哈特曼盡情發揮。
Oakley wanted to explore Troy's character because he had never interacted with the show's other characters before, only appearing on television.	奧克利想要探索特洛伊的角色，因為他之前從未與這個節目的其他角色互動過，只在電視上出現。
The writers chose the plot idea of Troy's marriage to Selma Bouvier because she was "always marrying people".	編劇選擇了特洛伊與塞爾瑪·布維爾的婚姻情節構想，因為她「一直和人結婚」。
The episode's first draft was written by freelance writer Jack Barth, although the rest of the writing staff rewrote it.	這一集的第一部草稿是由自由作家傑克·巴爾思編寫，但其他編劇工作人員將它改寫了。
One aspect of the rewrite was the song "Dr. Zaius" from the Planet of the Apes musical, which the staff consider to be one of the greatest musical numbers ever written for The Simpsons.	改寫的其中一個層面是來自《浩劫餘生》音樂劇的歌曲「佐斯博士」，工作人員認為這首歌是為《辛普森家庭》所寫最棒的演奏歌曲之一。
Clair was created for The Cosby Show by series creator, comedian Bill Cosby.	克萊兒是影集創作者 (喜劇影星比爾·寇司比) 為《天才老爹》所創造出來。
Cosby originally pitched a series about a detective who solves crime using his wit and humor; Clair's earliest incarnation resembled his character's girlfriend, who is depicted as "a strong woman with her own career." Networks were not interested in developing the series, so Cosby opted for a somewhat more autobiographical approach instead.	寇司比原本的提案是有關一位警探運用機智和幽默解決刑案的系列影集；克萊兒的早期化身與該角色的女朋友相似，她被描寫成「擁有自己事業的女強人」。電視網對開發此影集沒有興趣，因此寇司比改為選擇較為自傳式的方法。
Cosby eventually based The Cosby Show on his stand-up comedy film Bill Cosby: Himself (1983), which heavily features jokes about his relationship with his wife and their interactions with their children.	寇司比最後根據他的單口喜劇電影《比爾·寇司比：他本人》(1983) 改編成《天才老爹》，該電影大量採用有關他與妻子的關係以及他們與孩子的互動等笑話。
Clair is based on Cosby's real-life wife Camille.	克萊兒是根據寇司比現實生活的妻子卡蜜兒所改編。
Although the role of the parents in the show evolved dramatically from The Cosby Show's initial inception to final production, the one idea that was retained from Cosby's detective series was the concept of a strong career woman.	雖然節目中的雙親角色從《天才老爹》最初到最終製作有大幅的改變，但是從寇司比警探系列影集中保留的唯一構想是女強人的概念。
When Cosby originally pitched The Cosby Show to NBC, it revolved around the life of a blue-collar couple; Clair was intended to be a plumber while the character's husband Cliff, portrayed by Cosby himself, was a limousine driver.	寇司比原本向 NBC 提案《天才老爹》時，是以一對藍領夫妻的生活為主題；克萊兒原本是水管工，該角色的丈夫克里夫 (由寇司比本人所飾演) 則是禮車司機。
